127.0.0.1 - - [30/Nov/2019:09:47:06 -0600] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:49:43 -0600] "GET /stocky/member.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:49:43 -0600] "GET /stocky/index.jsp HTTP/1.1" 200 4532
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:49:43 -0600] "GET /stocky/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:49:43 -0600] "GET /stocky/assets/jumbotron_bottom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:50:01 -0600] "GET /stocky/signup.jsp HTTP/1.1" 200 4774
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:50:59 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:01 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4062
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:02 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4062
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:17 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:17 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:19 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:19 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:20 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:20 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:22 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:22 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:33 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:34 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:35 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:35 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:36 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:46 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:47 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:47 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:48 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:48 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:49 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:50 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:51 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:51 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [30/Nov/2019:09:55:52 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:00:19 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:00:19 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:00:20 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:17:36 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:17:37 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:18:29 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:18:33 -0600] "GET /stocky/error.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:18:42 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:18:47 -0600] "GET /stocky/addBank.jsp HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:19:00 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:19:08 -0600] "GET null HTTP/1.1" 400 1943
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:23:56 -0600] "GET /stocky HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:23:56 -0600] "GET /stocky/ HTTP/1.1" 200 4532
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:23:58 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:24:00 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4250
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:33:07 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:33:09 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:33:38 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:33:39 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:34:58 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4322
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:34:59 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4322
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:34:59 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4322
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:34:59 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4322
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:35:45 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4327
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:35:45 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4327
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:52:59 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:52:59 -0600] "GET /stocky/index.jsp HTTP/1.1" 200 4532
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:53:01 -0600] "GET /stocky/member.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:53:01 -0600] "GET /stocky/index.jsp HTTP/1.1" 200 4532
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:53:02 -0600] "GET /stocky/member.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:53:02 -0600] "GET /stocky/index.jsp HTTP/1.1" 200 4532
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:53:30 -0600] "GET /stocky/member.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:53:32 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:54:39 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:54:39 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:54:40 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:55:03 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:55:04 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:55:45 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 3931
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:17 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:17 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:18 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:18 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:19 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:19 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:20 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:20 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:21 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:36 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:58:37 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:59:20 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:59:21 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:59:22 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:59:23 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:59:23 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [30/Nov/2019:11:01:31 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [30/Nov/2019:11:01:48 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4249
0:0:0:0:0:0:0:1 - - [30/Nov/2019:11:01:49 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4249
0:0:0:0:0:0:0:1 - - [30/Nov/2019:11:01:49 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4249
0:0:0:0:0:0:0:1 - - [30/Nov/2019:11:01:50 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4249
0:0:0:0:0:0:0:1 - - [30/Nov/2019:11:01:51 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4249
0:0:0:0:0:0:0:1 - - [30/Nov/2019:11:02:06 -0600] "GET /stocky/Transfer.jsp?bankAccounts=99999 HTTP/1.1" 200 4245
